(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000001C41371D520>, seed=5, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p4s4_calibInstance2): (final loss=5.064599973147175, duration=17972.49578022957, trials processed=5000, failed=0, pruned=4932)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000001385B3B1160>, seed=4, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p4s4_calibInstance1): (final loss=7.770902402521767, duration=18052.201983690262, trials processed=5000, failed=0, pruned=4977)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x0000021A70D61340>, seed=6, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p4s4_calibInstance3): (final loss=6.949736826484875, duration=18447.173102378845, trials processed=5000, failed=0, pruned=4949)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000001FF4A7E8500>, seed=11, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p4s4_calibInstance10): (final loss=9.218453734292058, duration=11365.711651802063, trials processed=5000, failed=0, pruned=4960)

(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000002455F05BAA0>, seed=5, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p3s3_calibInstance2): (final loss=5.78117419347641, duration=17882.46767616272, trials processed=5000, failed=0, pruned=4929)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000002207A0E79B0>, seed=4, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p3s3_calibInstance1): (final loss=7.770902402521767, duration=17969.206458568573, trials processed=5000, failed=0, pruned=4963)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x0000021D6AEE7B60>, seed=6, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p3s3_calibInstance3): (final loss=6.949736826484875, duration=18547.405767679214, trials processed=5000, failed=0, pruned=4929)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000002454A4228A0>, seed=11, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p3s3_calibInstance10): (final loss=6.1286032173665, duration=11356.741909503937, trials processed=5000, failed=0, pruned=4930)

(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000002201B668BC0>, seed=4, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p2s2_calibInstance1): (final loss=5.566439174489402, duration=18088.2824447155, trials processed=5000, failed=0, pruned=4834)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x0000024A625B8BF0>, seed=5, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p2s2_calibInstance2): (final loss=5.445775974774781, duration=18196.29185819626, trials processed=5000, failed=0, pruned=4797)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x000001F9D31988F0>, seed=6, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p2s2_calibInstance3): (final loss=4.920324066989778, duration=18477.092965126038, trials processed=5000, failed=0, pruned=4771)
(pmode=1, pruner=<optuna.pruners._successive_halving.SuccessiveHalvingPruner object at 0x0000013D1B818AA0>, seed=11, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p2s2_calibInstance10): (final loss=5.520280564833383, duration=11516.519634246826, trials processed=5000, failed=0, pruned=4886)

(pmode=1, pruner=<optuna.pruners._median.MedianPruner object at 0x000001D9EC3903E0>, seed=4, cal.name=C:\Users\fabia\Documents\GitHub\hpvsim\RawTemp\09Oct24_1_p1m_calibInstance1): (final loss=4.931292617195098, duration=18285.86269211769, trials processed=5000, failed=0, pruned=4792)
