year,name,age,sex,genotype,value,,
2000,cancer_incidence,15,female,total,0.25079379,,
2000,cancer_incidence,20,female,total,2.055505917,,
2000,cancer_incidence,25,female,total,8.73127281,,
2000,cancer_incidence,30,female,total,14.77175744,,
2000,cancer_incidence,35,female,total,26.99729853,,
2000,cancer_incidence,40,female,total,40.78062754,,
2000,cancer_incidence,45,female,total,63.20306691,,
2000,cancer_incidence,50,female,total,65.14423737,,
2000,cancer_incidence,55,female,total,66.05111734,,
2000,cancer_incidence,65,female,total,54.90625056,,
2000,cancer_incidence,70,female,total,33.32023587,,
2000,cancer_incidence,75,female,total,12.40949851,,
2000,cancer_incidence,80,female,total,6.435887341,,
2000,cancer_incidence,85,female,total,0,,

