year,name,age,sex,genotype,value,,
2010,cancers,15,female,total,32.96674347,,
2010,cancers,20,female,total,346.1508865,,
2010,cancers,25,female,total,785.707489,,
2010,cancers,30,female,total,989.0003052,,
2010,cancers,35,female,total,1098.88916,,
2010,cancers,40,female,total,1087.903381,,
2010,cancers,45,female,total,1203.296509,,
2010,cancers,50,female,total,1247.253052,,
2010,cancers,55,female,total,1961.526001,,
2010,cancers,65,female,total,428.5620117,,
2010,cancers,70,female,total,318.6743164,,
2010,cancers,75,female,total,153.8427734,,
2010,cancers,80,female,total,43.95507813,,
2010,cancers,85,female,total,0,,
