year,name,age,sex,genotype,value
2000,cancers,0,female,total,0
2000,cancers,15,female,total,0
2000,cancers,20,female,total,0
2000,cancers,25,female,total,90
2000,cancers,30,female,total,380
2000,cancers,35,female,total,100
2000,cancers,40,female,total,450
2000,cancers,45,female,total,380
2000,cancers,50,female,total,1280
2000,cancers,55,female,total,910
2000,cancers,65,female,total,1100
2000,cancers,70,female,total,100
2000,cancers,75,female,total,0
2000,cancers,80,female,total,100
2000,cancers,85,female,total,0
2000,cancers,100,female,total,0
2000,n_infectious,0,female,total,0
2000,n_infectious,15,female,total,16000
2000,n_infectious,20,female,total,735000
2000,n_infectious,25,female,total,667000
2000,n_infectious,30,female,total,551000
2000,n_infectious,35,female,total,584500
2000,n_infectious,40,female,total,552100
2000,n_infectious,45,female,total,425500
2000,n_infectious,50,female,total,312800
2000,n_infectious,55,female,total,362400
2000,n_infectious,65,female,total,93700
2000,n_infectious,70,female,total,47500
2000,n_infectious,75,female,total,19100
2000,n_infectious,80,female,total,3700
2000,n_infectious,85,female,total,0
2000,n_infectious,100,female,total,0
2000,n_infected,0,female,total,0
2000,n_infected,15,female,total,30000
2000,n_infected,20,female,total,610000
2000,n_infected,25,female,total,1180000
2000,n_infected,30,female,total,1200000
2000,n_infected,35,female,total,1050000
2000,n_infected,40,female,total,1270000
2000,n_infected,45,female,total,1340000
2000,n_infected,50,female,total,1380000
2000,n_infected,55,female,total,1200000
2000,n_infected,65,female,total,1480000
2000,n_infected,70,female,total,360000
2000,n_infected,75,female,total,170000
2000,n_infected,80,female,total,50000
2000,n_infected,85,female,total,18000
2000,n_infected,100,female,total,1832
