,number,value,datetime_start,datetime_complete,duration,params_beta,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_hpv_control_prob,state
0,0,23.395925934031602,2024-02-29 13:36:04.777132,2024-02-29 13:36:09.714067,0 days 00:00:04.936935,0.5384764209714177,0.5907289510358633,8.893950903221166,0.3775945368717916,10.965858449419011,0.3653753242715412,11.348887263503372,0.5184179878729432,COMPLETE
1,1,34.54012531454483,2024-02-29 13:36:04.907113,2024-02-29 13:36:09.665066,0 days 00:00:04.757953,0.37557397991304686,0.28612534394877437,8.760416513649922,0.9142881211488014,6.655838442409418,0.8569832984462655,4.333573005801999,0.4188074285566543,COMPLETE
2,2,82.11636210020961,2024-02-29 13:36:05.018114,2024-02-29 13:36:09.827065,0 days 00:00:04.808951,0.35577311992535715,0.9823916095972822,8.30796696328347,0.26104663149916574,10.239350337920918,0.5507273851527148,9.787721422647529,0.07205113335976154,COMPLETE
3,3,78.7978034605596,2024-02-29 13:36:05.076113,2024-02-29 13:36:10.303064,0 days 00:00:05.226951,0.30702348462181844,0.3861826623818326,4.091190434219439,0.898743522233453,11.748325302567455,0.895355632171136,8.246845532444791,0.4023513600373648,COMPLETE
4,4,11.717761432275069,2024-02-29 13:36:05.133114,2024-02-29 13:36:09.621066,0 days 00:00:04.487952,0.2987706445522122,0.31368886836363086,5.748469405008626,0.20829932310855998,8.014996737189911,0.5966186345073169,5.070636231674213,0.24810116841355911,COMPLETE
5,5,21.164051891269228,2024-02-29 13:36:05.280119,2024-02-29 13:36:10.315064,0 days 00:00:05.034945,0.14666337668414053,0.5988056098420724,5.798373164246781,0.8170565146133968,4.166015594875212,0.7069185879410205,9.990431060308895,0.7605307121989587,COMPLETE
6,6,7.4846922461163485,2024-02-29 13:36:05.341116,2024-02-29 13:36:09.129067,0 days 00:00:03.787951,0.018818762067519965,0.536162883670182,7.883416785342259,0.34421575110141533,4.155801931900997,0.5705748211986756,9.799471433537182,0.4873716073198716,COMPLETE
7,7,23.438494814459183,2024-02-29 13:36:05.422114,2024-02-29 13:36:10.353065,0 days 00:00:04.930951,0.6314932493407384,0.21165996998833575,11.34997606479908,0.3233302739037379,9.920397572123239,0.41065201214810776,8.269915147042383,0.03342142762634459,COMPLETE
8,8,45.92117080965646,2024-02-29 13:36:05.554114,2024-02-29 13:36:11.058098,0 days 00:00:05.503984,0.43023929930528176,0.9780808911239147,7.6275939793384975,0.8221619284590562,5.900329760279298,0.8594228261290948,11.725993584343998,0.7755265146048467,COMPLETE
9,9,61.54950385020338,2024-02-29 13:36:05.636114,2024-02-29 13:36:10.736062,0 days 00:00:05.099948,0.3640505314648421,0.44778874040416333,11.660829914927128,0.6111546750181522,10.185320416634374,0.8963421485798502,4.064375588238543,0.3182844248720986,COMPLETE
